City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Butaritari,KI,80.96,few clouds,3.0707,172.7902,Isles Sunset Lodge
Hithadhoo,MV,81.88,broken clouds,-0.6,73.0833,Scoop Guest House
Lima,PE,66.9,clear sky,-12.0432,-77.0282,Hotel Kamana
Rikitea,PF,72.12,light rain,-23.1203,-134.9692,People ThankYou
Victoria,HK,73.45,light rain,22.2855,114.1577,Mini Central
Port Elizabeth,ZA,66.31,broken clouds,-33.918,25.5701,39 On Nile Guest House
Busselton,AU,67.89,overcast clouds,-33.65,115.3333,Observatory Guest House
Bengkulu,ID,79.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Arraial Do Cabo,BR,73.45,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Hobart,AU,67.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Port Alfred,ZA,65.17,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
Esperance,AU,72.77,scattered clouds,-33.8667,121.9,Hospitality Esperance
East London,ZA,66.69,broken clouds,-33.0153,27.9116,Tu Casa
Mogadishu,SO,80.15,light rain,2.0371,45.3438,Hotel Juba
Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
Sao Jose Da Coroa Grande,BR,75.52,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
Tautira,PF,75.9,light rain,-17.7333,-149.15,Pension Oaoa
Marawi,PH,81.12,moderate rain,7.9986,124.2928,Derogongan Residence
Porto Santo,PT,68.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Cap Malheureux,MU,80.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
Kapaa,US,76.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Atuona,PF,77.76,light rain,-9.8,-139.0333,Villa Enata
Garowe,SO,70.52,clear sky,8.4054,48.4845,Sacaada Hotel
Berbera,SO,77.09,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
Dingle,PH,85.95,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
Kankon,IN,81.43,broken clouds,15.0167,74.0167,Palolem Beach Resort
New Norfolk,AU,66.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
Hobyo,SO,79.83,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
Pivijay,CO,73.96,few clouds,10.4617,-74.6162,Hospedaje La Posada
Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
Kodinar,IN,79.05,clear sky,20.7903,70.7031,residency of N.B vadhel
Naze,JP,68.5,broken clouds,28.3667,129.4833,Shishime Hotel
Marsaxlokk,MT,66.07,broken clouds,35.8419,14.5431,Water's Edge
Sao Joao Da Barra,BR,74.25,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
Faanui,PF,79.39,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Maldonado,UY,65.59,clear sky,-34.6667,-54.9167,La Cimarrona
Tucurui,BR,73.98,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
Muscat,OM,73.42,overcast clouds,23.6139,58.5922,Mutrah Hotel
Alot,IN,69.98,clear sky,23.7667,75.55,SHELENDRA SINGH
Carnarvon,AU,76.44,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Charters Towers,AU,94.3,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
Bahia Honda,CU,75.74,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
Kandrian,PG,86.68,light rain,-6.2167,149.55,Kandrian Station
Uvira,CD,71.38,light rain,-3.4067,29.1458,Hotel Suzana
Kelo,TD,67.59,clear sky,9.3086,15.8066,Plantation de Kelo
Victor Harbor,AU,76.68,scattered clouds,-35.5667,138.6167,McCracken Country Club
Bubaque,GW,81.75,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
Harper,LR,77.43,light rain,4.375,-7.7169,Screensaver
Phuket,TH,82.09,broken clouds,8.0,98.25,The Surin
Zaraza,VE,72.75,scattered clouds,9.3503,-65.3245,Hotel Zaraza
Muisne,EC,73.18,overcast clouds,0.6,-80.0333,Quinta Samay
Sao Filipe,CV,76.68,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Pathalgaon,IN,70.32,broken clouds,22.5667,83.4667,Queens Park Marriage Garden
Axim,GH,77.09,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
Numan,NG,70.5,overcast clouds,9.4667,12.0333,Zangun Motel
Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Hilo,US,74.93,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
Lorengau,PG,86.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
Camocim,BR,77.67,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
Cotonou,BJ,79.27,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
Hirara,JP,71.87,shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Ampanihy,MG,79.97,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
Kieta,PG,83.41,light rain,-6.2167,155.6333,Uruna Bay Retreat
Viedma,AR,68.13,clear sky,-40.8135,-62.9967,Hotel Cristal
Flinders,AU,70.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Quelimane,MZ,78.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
Isangel,VU,81.91,broken clouds,-19.55,169.2667,Tanna Lodge
Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Liku,ID,86.94,overcast clouds,-0.7275,119.8922,Kost annisa
Rosignol,GY,76.06,light rain,6.2833,-57.5333,Little Rock Suites
Silchar,IN,75.87,clear sky,24.8167,92.8,Hotel Borail View
Daru,PG,84.76,overcast clouds,-9.0763,143.2092,Daru Lodge
Kavaratti,IN,79.68,overcast clouds,10.5669,72.642,Green leaf
Illapel,CL,67.62,broken clouds,-31.6308,-71.1653,Hotel Londres
Rondonopolis,BR,74.61,broken clouds,-16.4708,-54.6356,Serras Hotel
Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
Katsuura,JP,65.66,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Cabo San Lucas,MX,74.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Jinxi,CN,68.18,few clouds,30.4323,116.2922,Jinling Hotel
Mozarlandia,BR,71.76,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
Massaguet,TD,70.68,broken clouds,12.4755,15.4365,Alwatane
Coahuayana,MX,74.46,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
Auki,SB,86.58,broken clouds,-8.7676,160.7034,Auki Motel
Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Puyang,CN,66.09,broken clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
Nanakuli,US,76.98,overcast clouds,21.3906,-158.1547,Camp Pālehua
Itarema,BR,78.4,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Barmer,IN,72.86,few clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
Ponta Do Sol,PT,67.71,scattered clouds,32.6667,-17.1,Hotel do Campo
Alta Floresta,BR,69.98,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
Alice Springs,AU,69.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Loandjili,CG,77.94,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
Dehloran,IR,67.55,clear sky,32.6941,47.2679,کافه گیم استورم
Nabire,ID,83.05,broken clouds,-3.3667,135.4833,Hotel Nusantara I
Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
Puerto Maldonado,PE,70.79,overcast clouds,-12.6,-69.1833,Wasai Hotel
Yeppoon,AU,85.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
Dwarka,IN,79.47,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
Ixtapa,MX,74.23,clear sky,20.7,-105.2,hotel la terminal
Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
Nicoya,CR,73.4,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
Arawa,PG,84.45,light rain,-6.2132,155.5367,Coastline Guest House
Pandan,PH,83.77,broken clouds,14.0453,124.1694,Bonifacio Lodge
Hervey Bay,AU,78.44,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
Haimen,CN,67.89,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
Sur,OM,79.59,broken clouds,22.5667,59.5289,Sur Plaza Hotel
Buchanan,LR,77.32,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
Carutapera,BR,77.4,broken clouds,-1.195,-46.02,Lidera
Mazamari,PE,68.5,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
Bahia Blanca,AR,72.28,clear sky,-38.7196,-62.2724,Hotel Argos
Itoman,JP,73.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Ribas Do Rio Pardo,BR,75.92,overcast clouds,-20.4431,-53.7592,Pousada Avenida
Zemio,CF,66.85,broken clouds,5.0314,25.1361,OCHA Office
San Patricio,US,68.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
Moroto,UG,67.01,broken clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
Takoradi,GH,78.35,overcast clouds,4.8845,-1.7554,Raybow International Hotel
Devonport,AU,69.1,scattered clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
Chakulia,IN,74.73,scattered clouds,22.4833,86.7167,BKD
Yulara,AU,78.51,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Sibiti,CG,67.37,light rain,-3.6819,13.3499,Gaby et confort
Amarante Do Maranhao,BR,71.85,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
Maningrida,AU,92.46,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
Koster,ZA,65.39,scattered clouds,-25.863,26.8976,Klub Kranskuil
Meulaboh,ID,81.36,broken clouds,4.1363,96.1285,Kost Pria
Sakakah,SA,65.77,moderate rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
Kavieng,PG,85.91,broken clouds,-2.5744,150.7967,Nusa Island Retreat
Toyo,PH,82.74,broken clouds,10.7333,125.0167,Florina Country Lodge
Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
Alyangula,AU,88.41,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
Cape Canaveral,US,72.01,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
Mehran,IR,66.83,clear sky,33.1222,46.1646,بوتیک زنانه بهار
Sao Felix Do Xingu,BR,70.59,broken clouds,-6.6447,-51.995,Rio Xingu Camping
Saint-Georges,GD,74.88,light rain,12.0564,-61.7485,Radisson Grenada Beach Resort
Benjamin Constant,BR,75.33,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
Mana,GF,77.95,overcast clouds,5.6592,-53.7767,LE SAMANA
Mackay,AU,78.57,light rain,-21.15,149.2,International Lodge Motel
Salinopolis,BR,79.79,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Mareeba,AU,92.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
Hambantota,LK,80.98,overcast clouds,6.1241,81.1185,Bungalow 63
Rajshahi,BD,75.88,scattered clouds,24.3667,88.6,Anjum Hotel International
Bull Savanna,JM,75.2,broken clouds,17.8868,-77.5902,Big Red's
Dayong,CN,68.83,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
Pringsewu,ID,87.66,overcast clouds,-5.3582,104.9744,Urban Style by Front One
Tambura,SS,71.64,broken clouds,5.6,27.4667,Rikito Lodge
Hasaki,JP,69.22,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
Sao Sebastiao,BR,71.56,moderate rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
Isla Mujeres,MX,75.25,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
Damaturu,NG,65.89,overcast clouds,11.747,11.9608,Hayas Guest Inn And Hotel Apartment
Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
Grand-Santi,GF,73.89,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
Antsohihy,MG,77.25,few clouds,-14.8796,47.9875,Hotel de Ville
Port Macquarie,AU,76.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
Innisfail,AU,86.02,broken clouds,-17.5333,146.0333,Moondarra Motel
Iquitos,PE,73.44,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
Tumut,AU,69.84,clear sky,-35.3,148.2167,Amaroo Motel
Governador Valadares,BR,69.96,light rain,-18.8511,-41.9494,Hotel Panorama
Saint-Philippe,RE,81.99,few clouds,-21.3585,55.7679,Le four à pain
Aborlan,PH,89.67,broken clouds,9.4352,118.5492,Kevina Transient House
Euclides Da Cunha,BR,68.11,few clouds,-10.5075,-39.0158,Hotel e Posto Bastos
Malakal,SS,76.03,broken clouds,9.5334,31.6605,Nile Palace Hotel
Koutiala,ML,70.92,clear sky,12.3917,-5.4642,Hotel La Chaumiere
Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
Ben Tre,VN,83.07,broken clouds,10.2333,106.3833,bentre kiwi oasis hotel company ltd
Cocachacra,PE,68.18,overcast clouds,-17.0883,-71.7575,Hospedaje - El Refugio
Tolaga Bay,NZ,66.33,broken clouds,-38.3667,178.3,Tolaga Bay Motel
Ulladulla,AU,67.08,few clouds,-35.35,150.4667,Sandpiper Motel
Antalaha,MG,74.28,clear sky,-14.9003,50.2788,Hotel Vitasoa
San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
Ajdabiya,LY,67.28,broken clouds,30.7554,20.2263,Almadina Hotel
Wajir,KE,76.15,few clouds,1.7471,40.0573,Mahatallah Hotel
Inirida,CO,72.64,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
Caucaia,BR,80.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
Gat,IL,65.39,overcast clouds,31.61,34.7642,OlusHome
Novo Aripuana,BR,73.74,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
Vao,NC,74.08,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
Port Hueneme,US,68.25,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
Sindgi,IN,78.71,overcast clouds,16.9167,76.2333,Sindagi
Monrovia,LR,77.27,light rain,6.3005,-10.7969,Sunset Inn
Caravelas,BR,73.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
Ternate,ID,85.33,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
Sola,VU,88.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
Buala,SB,85.78,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
Atambua,ID,84.0,overcast clouds,-9.1061,124.8925,Ros Muskanan
Makakilo City,US,75.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Sal Rei,CV,76.03,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
Dosso,NE,69.76,broken clouds,13.049,3.1937,Hotel Toubal
Niono,ML,72.3,overcast clouds,14.2526,-5.993,Hôtel Campement
Namibe,AO,72.07,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Durg,IN,71.78,broken clouds,21.1833,81.2833,MAITRI HOSTEL
Ewa Beach,US,76.98,overcast clouds,21.3156,-158.0072,Base Lodging
Ballina,AU,80.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
Diu,IN,78.67,clear sky,20.7141,70.9822,Hotel Relax Inn
Rawson,AR,65.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
Lampa,CL,71.02,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
Omboue,GA,76.32,light rain,-1.5746,9.2618,Hotel Olako
Kawalu,ID,79.66,overcast clouds,-7.3817,108.2082,West Jontor
Sinjai,ID,86.4,broken clouds,-5.1241,120.253,Wisma Sandika
Biltine,TD,68.58,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
Mercedes,AR,69.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
Karratha,AU,88.21,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
Madras,IN,80.58,mist,13.0878,80.2785,"Taj Connemara, Chennai"
Dalby,AU,83.98,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
La Peca,PE,68.32,few clouds,-5.6111,-78.435,Hospedaje San Miguelito
Kabanjahe,ID,74.89,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
Sechura,PE,65.03,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
Karamsad,IN,71.62,clear sky,22.55,72.9,Madhubhan Resort & Spa
Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
Lakatoro,VU,84.43,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
Oyama,JP,70.59,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
Kalmunai,LK,83.1,broken clouds,7.4167,81.8167,VS Villa
Bandar-E Lengeh,IR,73.51,clear sky,26.5579,54.8807,کافی نت پارس
Tabou,CI,77.65,scattered clouds,4.423,-7.3528,hotêl doufoulougou
Emerald,AU,79.34,overcast clouds,-23.5333,148.1667,Emerald Inn
Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
Sabang,ID,80.96,broken clouds,5.8933,95.3214,Hotel Citra
Bambanglipuro,ID,81.52,overcast clouds,-7.95,110.2833,Puri Brata
Andros Town,BS,76.96,scattered clouds,24.7,-77.7667,CBH
The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
Ugoofaaru,MV,81.41,overcast clouds,5.6667,73.0,Ungoofaaru Inn
Kuching,MY,87.06,few clouds,1.55,110.3333,Hilton Kuching
Lagunas,PE,69.39,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
Phan Thiet,VN,83.98,broken clouds,10.9333,108.1,Hotel Saigon-PT
Namatanai,PG,85.37,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
Lakes Entrance,AU,68.16,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
Mayumba,GA,77.29,broken clouds,-3.432,10.6554,LIKWALE LODGE
Pio Xii,BR,73.69,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
Lazaro Cardenas,MX,76.01,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Phalombe,MW,72.39,light rain,-15.8064,35.6507,RIVONIA
Lamu,KE,81.37,scattered clouds,-2.2717,40.902,Lamu House
Touba,CI,69.26,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
Vinh Long,VN,85.98,broken clouds,10.25,105.9667,Phuong Thao Homestay
Nortelandia,BR,73.51,overcast clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
Sumbe,AO,76.86,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
Otane,NZ,65.01,broken clouds,-39.8833,176.6333,Ludlow Farmstay
Port Augusta,AU,82.53,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
Bolobo,CD,72.93,broken clouds,-2.1667,16.2333,Hotel de Stephen
Cansancao,BR,69.24,scattered clouds,-10.6672,-39.4992,MIGUEL
Gamboma,CG,71.35,few clouds,-1.8764,15.8644,Residence N'Keni
Jawhar,SO,80.53,clear sky,2.7809,45.5005,Hotel Shabelle
Broken Hill,AU,80.28,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
Kudahuvadhoo,MV,81.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
Palauig,PH,87.48,overcast clouds,15.435,119.9045,Villa Raphael Resort
Richards Bay,ZA,76.41,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Banyuwangi,ID,83.97,overcast clouds,-8.2325,114.3576,SPOT ON 1842 Cevilla Bnb Residence Syariah
Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
Mbandaka,CD,71.08,broken clouds,0.0487,18.2603,Guest House Epervier
Kirakira,SB,84.34,scattered clouds,-10.4544,161.9205,SanBiz Lodge
Ouro Preto Do Oeste,BR,70.97,light rain,-10.7481,-62.2158,Graúna Resort Hotel
Manokwari,ID,84.16,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
